Datetime,Energy Consumption (kWh)
2023-01-01,466.4
2023-01-02,401.01
2023-01-03,375.64
2023-01-04,454.8
2023-01-05,460.98
2023-01-06,433.95
2023-01-07,492.59
2023-01-08,400.46
2023-01-09,379.36
2023-01-10,425.51
2023-01-11,486.28
2023-01-12,465.65
2023-01-13,433.0
2023-01-14,411.16
2023-01-15,425.95
2023-01-16,402.26
2023-01-17,368.63
2023-01-18,390.17
2023-01-19,378.39
2023-01-20,412.34
2023-01-21,412.59
2023-01-22,432.17
2023-01-23,459.49
2023-01-24,428.81
2023-01-25,388.62
2023-01-26,387.82
2023-01-27,418.35
2023-01-28,349.59
2023-01-29,402.04
2023-01-30,393.55
2023-01-31,357.79
2023-02-01,428.21
2023-02-02,376.35
2023-02-03,436.89
2023-02-04,396.18
2023-02-05,360.43
2023-02-06,462.49
2023-02-07,395.34
2023-02-08,417.47
2023-02-09,503.35
2023-02-10,396.54
2023-02-11,426.41
2023-02-12,385.55
2023-02-13,375.44
2023-02-14,385.5
2023-02-15,420.11
2023-02-16,497.97
2023-02-17,407.86
2023-02-18,406.36
2023-02-19,400.91
2023-02-20,400.37
2023-02-21,406.4
2023-02-22,432.13
2023-02-23,372.28000000000003
2023-02-24,405.46
2023-02-25,392.61
2023-02-26,377.23
2023-02-27,350.62
2023-02-28,415.9
2023-03-01,391.99
2023-03-02,366.43
2023-03-03,335.74
2023-03-04,361.95
2023-03-05,413.05
2023-03-06,423.56
2023-03-07,390.67
2023-03-08,427.16
2023-03-09,397.24
2023-03-10,414.33
2023-03-11,436.33
2023-03-12,451.01
2023-03-13,439.96
2023-03-14,325.07
2023-03-15,389.58
2023-03-16,385.12
2023-03-17,400.26
2023-03-18,470.88
2023-03-19,430.16
2023-03-20,427.58
2023-03-21,409.7
2023-03-22,391.71
2023-03-23,440.11
2023-03-24,400.31
2023-03-25,384.46999999999997
2023-03-26,438.52
2023-03-27,362.27
2023-03-28,415.48
2023-03-29,386.73
2023-03-30,400.15
2023-03-31,413.86
2023-04-01,448.62
2023-04-02,389.32
2023-04-03,421.25
2023-04-04,399.07
2023-04-05,404.05
2023-04-06,405.53
2023-04-07,449.22
2023-04-08,422.67
2023-04-09,403.37
2023-04-10,366.37
2023-04-11,388.6
2023-04-12,445.46
2023-04-13,465.03000000000003
2023-04-14,412.82
2023-04-15,405.97
2023-04-16,390.68
2023-04-17,417.6
2023-04-18,450.28000000000003
2023-04-19,487.12
2023-04-20,432.41
2023-04-21,374.93
2023-04-22,379.49
2023-04-23,414.2
2023-04-24,442.88
2023-04-25,425.76
2023-04-26,419.76
2023-04-27,386.62
2023-04-28,398.8
2023-04-29,471.73
2023-04-30,470.39
2023-05-01,383.48
2023-05-02,411.61
2023-05-03,433.27
2023-05-04,417.38
2023-05-05,374.54
2023-05-06,425.46
2023-05-07,359.26
2023-05-08,416.33
2023-05-09,427.79
2023-05-10,416.31
2023-05-11,347.9
2023-05-12,348.61
2023-05-13,454.08
2023-05-14,380.66
2023-05-15,431.25
2023-05-16,471.31
2023-05-17,402.34
2023-05-18,395.74
2023-05-19,462.27
2023-05-20,446.03
2023-05-21,450.67
2023-05-22,359.61
2023-05-23,432.34
2023-05-24,444.1
2023-05-25,370.73
2023-05-26,411.55
2023-05-27,405.19
2023-05-28,481.46
2023-05-29,411.59
2023-05-30,426.95
2023-05-31,356.3
2023-06-01,397.67
2023-06-02,353.66
2023-06-03,432.68
2023-06-04,426.07
2023-06-05,444.1
2023-06-06,430.9
2023-06-07,429.0
2023-06-08,386.87
2023-06-09,390.5
2023-06-10,404.52
2023-06-11,442.83
2023-06-12,427.4
2023-06-13,385.9
2023-06-14,450.63
2023-06-15,370.94
2023-06-16,463.11
2023-06-17,433.48
2023-06-18,422.83
2023-06-19,465.17
2023-06-20,435.05
2023-06-21,394.44
2023-06-22,402.14
2023-06-23,410.86
2023-06-24,460.51
2023-06-25,452.14
2023-06-26,441.59000000000003
2023-06-27,370.96999999999997
2023-06-28,420.56
2023-06-29,403.04
2023-06-30,445.13
2023-07-01,396.34
2023-07-02,426.54
2023-07-03,372.35
2023-07-04,410.19
2023-07-05,421.16
2023-07-06,427.74
2023-07-07,351.54
2023-07-08,420.12
2023-07-09,386.12
2023-07-10,389.93
2023-07-11,382.9
2023-07-12,471.05
2023-07-13,354.15
2023-07-14,418.54
2023-07-15,456.46
2023-07-16,390.84
2023-07-17,460.32
2023-07-18,477.54
2023-07-19,377.12
2023-07-20,358.01
2023-07-21,338.75
2023-07-22,412.23
2023-07-23,392.07
2023-07-24,390.74
2023-07-25,429.89
2023-07-26,410.39
2023-07-27,448.84
2023-07-28,421.15
2023-07-29,401.56
2023-07-30,391.18
2023-07-31,453.94
2023-08-01,421.0
2023-08-02,387.4
2023-08-03,402.21
2023-08-04,425.22
2023-08-05,431.96
2023-08-06,422.38
2023-08-07,411.63
2023-08-08,446.68
2023-08-09,384.3
2023-08-10,386.16
2023-08-11,443.61
2023-08-12,362.88
2023-08-13,389.62
2023-08-14,460.75
2023-08-15,415.7
2023-08-16,414.25
2023-08-17,429.1
2023-08-18,409.69
2023-08-19,399.65
2023-08-20,435.7
2023-08-21,397.43
2023-08-22,398.1
2023-08-23,398.36
2023-08-24,367.23
2023-08-25,385.12
2023-08-26,374.27
2023-08-27,358.33
2023-08-28,341.52
2023-08-29,435.84
2023-08-30,431.46
2023-08-31,375.99
2023-09-01,429.1
2023-09-02,428.36
2023-09-03,423.13
2023-09-04,427.17
2023-09-05,428.37
2023-09-06,407.61
2023-09-07,355.62
2023-09-08,393.89
2023-09-09,397.64
2023-09-10,393.0
2023-09-11,427.53
2023-09-12,417.57
2023-09-13,398.79
2023-09-14,399.82
2023-09-15,360.4
2023-09-16,442.7
2023-09-17,468.0
2023-09-18,327.96
2023-09-19,419.22
2023-09-20,362.11
2023-09-21,430.17
2023-09-22,402.63
2023-09-23,435.44
2023-09-24,362.09
2023-09-25,444.29
2023-09-26,383.66
2023-09-27,396.12
2023-09-28,416.49
2023-09-29,412.14
2023-09-30,354.24
2023-10-01,368.16
2023-10-02,435.01
2023-10-03,425.92
2023-10-04,391.47
2023-10-05,428.45
2023-10-06,429.42
2023-10-07,413.65
2023-10-08,479.64
2023-10-09,406.79
2023-10-10,428.45
2023-10-11,425.54
2023-10-12,393.78
2023-10-13,404.33
2023-10-14,393.8
2023-10-15,416.55
2023-10-16,421.62
2023-10-17,464.32
2023-10-18,423.45
2023-10-19,417.46
2023-10-20,419.71
2023-10-21,423.86
2023-10-22,397.41
2023-10-23,426.78
2023-10-24,452.95
2023-10-25,443.88
2023-10-26,438.14
2023-10-27,398.56
2023-10-28,418.87
2023-10-29,388.2
2023-10-30,341.22
2023-10-31,341.44
2023-11-01,432.63
2023-11-02,467.07
2023-11-03,361.25
2023-11-04,421.91
2023-11-05,406.94
2023-11-06,372.95
2023-11-07,436.52
2023-11-08,438.41
2023-11-09,371.52
2023-11-10,416.47
2023-11-11,357.11
2023-11-12,403.71
2023-11-13,416.01
2023-11-14,403.7
2023-11-15,420.74
2023-11-16,427.2
2023-11-17,420.8
2023-11-18,412.82
2023-11-19,420.85
2023-11-20,401.86
2023-11-21,358.5
2023-11-22,472.56
2023-11-23,394.45
2023-11-24,402.02
2023-11-25,449.52
2023-11-26,396.67
2023-11-27,369.24
2023-11-28,434.33
2023-11-29,355.41
2023-11-30,430.7
2023-12-01,412.52
2023-12-02,377.78
2023-12-03,435.2
2023-12-04,370.47
2023-12-05,387.9
2023-12-06,404.59
2023-12-07,428.68
2023-12-08,383.87
2023-12-09,380.92
2023-12-10,420.28000000000003
2023-12-11,342.57
2023-12-12,447.04
2023-12-13,362.36
2023-12-14,412.62
2023-12-15,392.64
2023-12-16,378.7
2023-12-17,414.92
2023-12-18,431.86
2023-12-19,396.19
2023-12-20,395.58
2023-12-21,424.26
2023-12-22,391.36
2023-12-23,373.33
2023-12-24,445.9
2023-12-25,366.96
2023-12-26,442.63
2023-12-27,355.66
2023-12-28,378.84
2023-12-29,425.19
2023-12-30,373.69
2023-12-31,390.34000000000003
2024-01-01,399.21999999999997
