Datetime,Energy Consumption (kWh),Day,Month,Day_of_Week,Week_of_Year,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_7
2023-01-08,400.46,8,1,6,1,492.59,433.95,460.98,462.50666666666666,440.76714285714286
2023-01-09,379.36,9,1,0,2,400.46,492.59,433.95,442.3333333333333,431.34714285714284
2023-01-10,425.51,10,1,1,2,379.36,400.46,492.59,424.1366666666666,428.25428571428574
2023-01-11,486.28,11,1,2,2,425.51,379.36,400.46,401.77666666666664,435.37857142857143
2023-01-12,465.65,12,1,3,2,486.28,425.51,379.36,430.3833333333334,439.8757142857143
2023-01-13,433.0,13,1,4,2,465.65,486.28,425.51,459.1466666666667,440.54285714285714
2023-01-14,411.16,14,1,5,2,433.0,465.65,486.28,461.64333333333326,440.4071428571429
2023-01-15,425.95,15,1,6,2,411.16,433.0,465.65,436.6033333333333,428.7742857142857
2023-01-16,402.26,16,1,0,3,425.95,411.16,433.0,423.37000000000006,432.4157142857143
2023-01-17,368.63,17,1,1,3,402.26,425.95,411.16,413.1233333333333,435.6871428571429
2023-01-18,390.17,18,1,2,3,368.63,402.26,425.95,398.94666666666666,427.5614285714286
2023-01-19,378.39,19,1,3,3,390.17,368.63,402.26,387.02,413.83142857142855
2023-01-20,412.34,20,1,4,3,378.39,390.17,368.63,379.06333333333333,401.3657142857143
2023-01-21,412.59,21,1,5,3,412.34,378.39,390.17,393.6333333333334,398.4142857142857
2023-01-22,432.17,22,1,6,3,412.59,412.34,378.39,401.1066666666666,398.61857142857144
2023-01-23,459.49,23,1,0,4,432.17,412.59,412.34,419.0333333333333,399.50714285714287
2023-01-24,428.81,24,1,1,4,459.49,432.17,412.59,434.75,407.68285714285713
2023-01-25,388.62,25,1,2,4,428.81,459.49,432.17,440.1566666666667,416.2799999999999
2023-01-26,387.82,26,1,3,4,388.62,428.81,459.49,425.64000000000004,416.0585714285715
2023-01-27,418.35,27,1,4,4,387.82,388.62,428.81,401.75,417.4057142857142
2023-01-28,349.59,28,1,5,4,418.35,387.82,388.62,398.2633333333333,418.2642857142858
2023-01-29,402.04,29,1,6,4,349.59,418.35,387.82,385.25333333333333,409.2642857142857
2023-01-30,393.55,30,1,0,5,402.04,349.59,418.35,389.99333333333334,404.96
2023-01-31,357.79,31,1,1,5,393.55,402.04,349.59,381.7266666666667,395.54
2023-02-01,428.21,1,2,2,5,357.79,393.55,402.04,384.46000000000004,385.39428571428573
2023-02-02,376.35,2,2,3,5,428.21,357.79,393.55,393.18333333333334,391.05
2023-02-03,436.89,3,2,4,5,376.35,428.21,357.79,387.45000000000005,389.4114285714286
2023-02-04,396.18,4,2,5,5,436.89,376.35,428.21,413.81666666666666,392.05999999999995
2023-02-05,360.43,5,2,6,5,396.18,436.89,376.35,403.14000000000004,398.71571428571434
2023-02-06,462.49,6,2,0,6,360.43,396.18,436.89,397.8333333333333,392.7714285714286
2023-02-07,395.34,7,2,1,6,462.49,360.43,396.18,406.3666666666666,402.62
2023-02-08,417.47,8,2,2,6,395.34,462.49,360.43,406.08666666666664,407.9842857142857
2023-02-09,503.35,9,2,3,6,417.47,395.34,462.49,425.09999999999997,406.45
2023-02-10,396.54,10,2,4,6,503.35,417.47,395.34,438.71999999999997,424.59285714285716
2023-02-11,426.41,11,2,5,6,396.54,503.35,417.47,439.12000000000006,418.8285714285715
2023-02-12,385.55,12,2,6,6,426.41,396.54,503.35,442.1000000000001,423.1471428571428
2023-02-13,375.44,13,2,0,7,385.55,426.41,396.54,402.8333333333333,426.7357142857143
2023-02-14,385.5,14,2,1,7,375.44,385.55,426.41,395.8,414.3
2023-02-15,420.11,15,2,2,7,385.5,375.44,385.55,382.16333333333336,412.89428571428573
2023-02-16,497.97,16,2,3,7,420.11,385.5,375.44,393.6833333333334,413.2714285714286
2023-02-17,407.86,17,2,4,7,497.97,420.11,385.5,434.52666666666664,412.5028571428571
2023-02-18,406.36,18,2,5,7,407.86,497.97,420.11,441.98,414.12
2023-02-19,400.91,19,2,6,7,406.36,407.86,497.97,437.3966666666667,411.25571428571436
2023-02-20,400.37,20,2,0,8,400.91,406.36,407.86,405.04333333333335,413.45
2023-02-21,406.4,21,2,1,8,400.37,400.91,406.36,402.5466666666667,417.01142857142855
2023-02-22,432.13,22,2,2,8,406.4,400.37,400.91,402.56,419.9971428571429
2023-02-23,372.28,23,2,3,8,432.13,406.4,400.37,412.96666666666664,421.7142857142857
2023-02-24,405.46,24,2,4,8,372.28,432.13,406.4,403.6033333333333,403.75857142857143
2023-02-25,392.61,25,2,5,8,405.46,372.28,432.13,403.28999999999996,403.4157142857143
2023-02-26,377.23,26,2,6,8,392.61,405.46,372.28,390.1166666666666,401.45142857142855
2023-02-27,350.62,27,2,0,9,377.23,392.61,405.46,391.7666666666667,398.06857142857143
2023-02-28,415.9,28,2,1,9,350.62,377.23,392.61,373.4866666666667,390.9614285714286
2023-03-01,391.99,1,3,2,9,415.9,350.62,377.23,381.25,392.31857142857143
2023-03-02,366.43,2,3,3,9,391.99,415.9,350.62,386.17,386.5842857142857
2023-03-03,335.74,3,3,4,9,366.43,391.99,415.9,391.44,385.74857142857144
2023-03-04,361.95,4,3,5,9,335.74,366.43,391.99,364.72,375.7885714285714
2023-03-05,413.05,5,3,6,9,361.95,335.74,366.43,354.70666666666665,371.40857142857146
2023-03-06,423.56,6,3,0,10,413.05,361.95,335.74,370.24666666666667,376.5257142857143
2023-03-07,390.67,7,3,1,10,423.56,413.05,361.95,399.52,386.94571428571425
2023-03-08,427.16,8,3,2,10,390.67,423.56,413.05,409.0933333333333,383.34142857142854
2023-03-09,397.24,9,3,3,10,427.16,390.67,423.56,413.7966666666667,388.36571428571426
2023-03-10,414.33,10,3,4,10,397.24,427.16,390.67,405.02333333333337,392.76714285714286
2023-03-11,436.33,11,3,5,10,414.33,397.24,427.16,412.91,403.9942857142857
2023-03-12,451.01,12,3,6,10,436.33,414.33,397.24,415.9666666666667,414.62
2023-03-13,439.96,13,3,0,11,451.01,436.33,414.33,433.89000000000004,420.04285714285714
2023-03-14,325.07,14,3,1,11,439.96,451.01,436.33,442.43333333333334,422.38571428571424
2023-03-15,389.58,15,3,2,11,325.07,439.96,451.01,405.34666666666664,413.0142857142858
2023-03-16,385.12,16,3,3,11,389.58,325.07,439.96,384.86999999999995,407.6457142857143
2023-03-17,400.26,17,3,4,11,385.12,389.58,325.07,366.59,405.9142857142857
2023-03-18,470.88,18,3,5,11,400.26,385.12,389.58,391.65333333333336,403.9042857142857
2023-03-19,430.16,19,3,6,11,470.88,400.26,385.12,418.75333333333333,408.84000000000003
2023-03-20,427.58,20,3,0,12,430.16,470.88,400.26,433.76666666666665,405.8614285714285
2023-03-21,409.7,21,3,1,12,427.58,430.16,470.88,442.8733333333333,404.09285714285716
2023-03-22,391.71,22,3,2,12,409.7,427.58,430.16,422.48,416.18285714285713
2023-03-23,440.11,23,3,3,12,391.71,409.7,427.58,409.66333333333336,416.4871428571428
2023-03-24,400.31,24,3,4,12,440.11,391.71,409.7,413.84,424.34285714285716
2023-03-25,384.47,25,3,5,12,400.31,440.11,391.71,410.71000000000004,424.35
2023-03-26,438.52,26,3,6,12,384.47,400.31,440.11,408.2966666666666,412.0057142857143
2023-03-27,362.27,27,3,0,13,438.52,384.47,400.31,407.7666666666667,413.2
2023-03-28,415.48,28,3,1,13,362.27,438.52,384.47,395.08666666666664,403.86999999999995
2023-03-29,386.73,29,3,2,13,415.48,362.27,438.52,405.42333333333335,404.69571428571425
2023-03-30,400.15,30,3,3,13,386.73,415.48,362.27,388.16,403.9842857142857
2023-03-31,413.86,31,3,4,13,400.15,386.73,415.48,400.7866666666667,398.2757142857143
2023-04-01,448.62,1,4,5,13,413.86,400.15,386.73,400.24666666666667,400.2114285714286
2023-04-02,389.32,2,4,6,13,448.62,413.86,400.15,420.8766666666667,409.3757142857143
2023-04-03,421.25,3,4,0,14,389.32,448.62,413.86,417.26666666666665,402.3471428571429
2023-04-04,399.07,4,4,1,14,421.25,389.32,448.62,419.73,410.77285714285716
2023-04-05,404.05,5,4,2,14,399.07,421.25,389.32,403.2133333333333,408.42857142857144
2023-04-06,405.53,6,4,3,14,404.05,399.07,421.25,408.1233333333334,410.90285714285716
2023-04-07,449.22,7,4,4,14,405.53,404.05,399.07,402.8833333333334,411.6714285714285
2023-04-08,422.67,8,4,5,14,449.22,405.53,404.05,419.59999999999997,416.72285714285715
2023-04-09,403.37,9,4,6,14,422.67,449.22,405.53,425.8066666666667,413.0157142857143
